order_id,customer_id,product_id,order_date,quantity,unit_price,discount_pct,tax_pct
ORD-02256,CUST-0497,PROD-0028,2024-05-11,8,1509.97,0.04,0.07
ORD-00801,CUST-0210,PROD-0048,2023-07-14,9,1246.04,0.13,0.1
ORD-02237,CUST-0084,PROD-0083,2023-07-28,8,106.73,0.15,0.11
ORD-01579,CUST-0234,PROD-0036,2024-11-21,10,893.84,0.09,0.14
ORD-02756,CUST-0365,PROD-0070,2023-10-24,1,1988.98,0.07,0.14
ORD-02547,CUST-0487,PROD-0068,2024-02-02,2,1419.38,0.02,0.11
ORD-04934,CUST-0130,PROD-0047,2023-09-12,8,959.02,0.23,0.1
ORD-04794,CUST-0307,PROD-0084,2024-09-02,3,1703.57,0.16,0.07
ORD-03015,CUST-0279,PROD-0055,2023-07-28,5,724.98,0.05,0.11
ORD-02852,CUST-0023,PROD-0030,2024-08-06,5,547.83,0.2,0.13
ORD-02368,CUST-0039,PROD-0025,2023-01-02,9,616.36,0.23,0.05
ORD-03814,CUST-0214,PROD-0010,2024-04-07,8,1083.78,0.24,0.14
ORD-04198,CUST-0267,PROD-0042,2023-08-21,7,988.96,0.09,0.14
ORD-02451,CUST-0091,PROD-0067,2023-12-16,7,825.62,0.1,0.07
ORD-02777,CUST-0085,PROD-0008,2024-12-01,1,1720.57,0.18,0.11
ORD-03761,CUST-0398,PROD-0007,2023-05-16,10,552.44,0.1,0.1
ORD-02601,CUST-0456,PROD-0035,2023-09-15,10,1591.48,0.0,0.15
ORD-02933,CUST-0132,PROD-0041,2023-09-15,7,823.63,0.01,0.08
ORD-04111,CUST-0162,PROD-0030,2023-05-25,5,1361.66,0.22,0.11
ORD-02250,CUST-0219,PROD-0012,2023-02-10,4,1565.9,0.07,0.07
ORD-02864,CUST-0231,PROD-0080,2024-08-17,8,1452.62,0.07,0.1
ORD-02658,CUST-0154,PROD-0018,2023-07-21,10,525.36,0.21,0.15
ORD-01943,CUST-0398,PROD-0046,2024-06-13,2,574.12,0.23,0.06
ORD-01384,CUST-0272,PROD-0038,2024-04-05,6,1149.74,0.23,0.08
ORD-01135,CUST-0302,PROD-0064,2023-11-02,8,966.13,0.09,0.06
ORD-01354,CUST-0268,PROD-0048,2023-06-21,6,1291.26,0.18,0.1
ORD-00347,CUST-0381,PROD-0069,2023-06-28,10,1617.07,0.21,0.08
ORD-00716,CUST-0156,PROD-0093,2023-05-13,7,809.99,0.2,0.11
ORD-03972,CUST-0186,PROD-0056,2024-03-01,10,702.25,0.24,0.08
ORD-03696,CUST-0121,PROD-0045,2024-06-30,4,1968.37,0.19,0.11
ORD-03699,CUST-0091,PROD-0052,2023-05-23,3,931.38,0.21,0.11
ORD-02649,CUST-0210,PROD-0052,2024-10-16,-3,348.78,0.21,0.05
ORD-02210,CUST-0120,PROD-0090,2024-10-25,8,1908.55,0.26,0.05
ORD-04290,CUST-0001,PROD-0022,2024-06-28,5,1268.49,0.22,0.12
ORD-02489,CUST-0116,PROD-0017,2023-09-26,3,847.13,0.19,0.08
ORD-00566,CUST-0158,PROD-0004,2024-08-15,8,1801.35,0.04,0.11
ORD-00291,CUST-0104,PROD-0067,2024-10-02,2,467.33,0.12,0.06
ORD-02460,CUST-0458,PROD-0059,2023-06-22,4,1664.0,0.23,0.1
ORD-02225,CUST-0198,PROD-0094,2023-05-13,6,1132.99,0.3,0.08
ORD-01394,CUST-0116,PROD-0042,2024-08-04,5,22.64,0.25,0.05
ORD-02711,CUST-0461,PROD-0001,2024-02-18,6,1996.66,0.2,0.14
ORD-04397,CUST-0291,PROD-0069,2024-02-24,5,1615.4,0.01,0.05
ORD-01122,CUST-0050,PROD-0018,2023-08-21,9,374.91,0.23,0.13
ORD-02067,CUST-0334,PROD-0074,2024-06-30,7,976.16,0.01,0.11
ORD-03551,CUST-0348,PROD-0027,2024-04-27,4,561.7,0.07,0.14
ORD-03631,CUST-0056,PROD-0062,2024-09-09,6,754.31,0.05,0.11
ORD-03874,CUST-0441,PROD-0084,2023-06-12,8,700.04,0.21,0.09
ORD-01216,CUST-0456,PROD-0056,2024-02-11,2,1435.34,0.28,0.06
ORD-04800,CUST-0269,PROD-0036,2023-03-19,7,868.75,0.3,0.15
ORD-00255,CUST-0321,PROD-0009,2023-11-25,3,1943.54,0.23,0.1
ORD-00030,CUST-0476,PROD-0041,2023-11-30,5,1799.63,0.17,0.05
ORD-02056,CUST-0460,PROD-0096,2023-04-29,7,1691.8,0.14,0.12
ORD-03186,CUST-0089,PROD-0098,2024-04-08,7,887.02,0.2,0.06
ORD-04619,CUST-0334,PROD-0010,2024-08-12,6,1620.95,0.08,0.15
ORD-01226,CUST-0218,PROD-0015,2023-08-12,5,844.99,0.13,0.07
ORD-04858,CUST-0383,PROD-0094,2024-12-15,2,549.26,0.09,0.05
ORD-00601,CUST-0054,PROD-0051,2023-01-13,6,366.8,0.3,0.1
ORD-04242,CUST-0379,PROD-0043,2023-04-19,5,1856.87,0.26,0.13
ORD-00750,CUST-0087,PROD-0032,2024-03-06,9,414.88,0.29,0.09
ORD-02118,CUST-0303,PROD-0035,2023-05-04,6,210.14,0.18,0.14
ORD-03174,CUST-0346,PROD-0049,2024-02-10,8,1636.06,0.04,0.09
ORD-04018,CUST-0434,PROD-0014,2024-07-08,7,1114.39,0.21,0.12
ORD-02621,CUST-0387,PROD-0100,2023-05-11,9,576.83,0.24,0.11
ORD-00183,CUST-0142,PROD-0082,2023-05-22,5,603.97,0.03,0.06
ORD-00511,CUST-0431,PROD-0059,2024-03-04,2,737.06,0.26,0.08
ORD-02066,CUST-0297,PROD-0034,2023-04-27,7,1951.97,0.19,0.06
ORD-02562,CUST-0100,PROD-0099,2024-05-05,1,347.74,0.08,0.14
ORD-01537,CUST-0263,PROD-0036,2024-10-05,7,1983.49,0.11,0.08
ORD-02091,CUST-0278,PROD-0008,2024-07-03,2,1796.5,0.11,0.05
ORD-02731,CUST-0157,PROD-0095,2024-08-11,10,1451.51,0.28,0.15
ORD-00110,CUST-0412,PROD-0067,2024-04-29,2,1009.06,0.27,0.07
ORD-00573,CUST-0269,PROD-0043,2024-07-30,2,295.84,0.09,0.15
ORD-03282,CUST-0391,PROD-0076,2024-03-06,2,1607.11,0.16,0.05
ORD-00930,CUST-0041,PROD-0010,2023-05-13,5,818.96,0.09,0.06
ORD-01320,CUST-0224,PROD-0036,2024-04-27,1,754.73,0.14,0.13
ORD-02227,CUST-0470,PROD-0040,2023-06-24,1,1149.65,0.28,0.14
ORD-00756,CUST-0009,PROD-0089,2023-04-01,6,689.84,0.14,0.11
ORD-01050,CUST-0285,PROD-0051,2024-03-27,6,349.12,0.17,0.09
ORD-02232,CUST-0415,PROD-0008,2024-06-07,5,1555.74,0.27,0.07
ORD-04948,CUST-0363,PROD-0062,2023-06-15,10,1756.94,0.2,0.11
ORD-03532,CUST-0248,PROD-0030,2023-11-08,5,28.87,0.02,0.12
ORD-00600,CUST-0097,PROD-0009,2023-12-29,4,1112.29,0.09,0.14
ORD-02905,CUST-0478,PROD-0096,2023-12-21,3,855.26,0.26,0.08
ORD-02323,CUST-0404,PROD-0087,2023-08-22,9,462.51,0.26,0.09
ORD-02715,CUST-0193,PROD-0041,2023-09-17,8,11.53,0.28,0.08
ORD-04003,CUST-0049,PROD-0086,2024-07-18,6,82.0,0.11,0.06
ORD-01936,CUST-0198,PROD-0072,2024-06-04,1,1903.74,0.15,0.08
ORD-01672,CUST-0449,PROD-0068,2023-06-26,5,418.21,0.2,0.09
ORD-00982,CUST-0355,PROD-0035,2024-07-05,5,670.2,0.05,0.06
ORD-01583,CUST-0033,PROD-0009,2024-06-07,9,121.16,0.22,0.06
ORD-04764,CUST-0258,PROD-0080,2023-01-07,8,645.98,0.13,0.05
ORD-01612,CUST-0045,PROD-0078,2024-08-19,8,1354.66,0.12,0.15
ORD-00996,CUST-0399,PROD-0018,2024-02-11,1,1823.61,0.11,0.13
ORD-02629,CUST-0243,PROD-0041,2024-09-14,7,264.94,0.13,0.15
ORD-00103,CUST-0268,PROD-0067,2023-01-01,3,1405.98,0.05,0.15
ORD-02722,CUST-0310,PROD-0068,2024-01-21,3,278.43,0.02,0.08
ORD-01220,CUST-0301,PROD-0049,2023-09-22,1,1898.87,0.19,0.07
ORD-04551,CUST-0480,PROD-0039,2023-08-03,7,838.21,0.03,0.09
ORD-00026,CUST-0435,PROD-0011,2023-02-23,4,1980.56,0.07,0.12
ORD-04177,CUST-0455,PROD-0006,2024-11-25,8,1170.31,0.07,0.11
ORD-01916,CUST-0402,PROD-0070,2023-02-03,5,478.09,0.19,0.1
ORD-03339,CUST-0047,PROD-0071,2024-07-16,10,448.48,0.16,0.15
ORD-03093,CUST-0197,PROD-0056,2023-07-25,3,1802.89,0.14,0.1
ORD-02117,CUST-0483,PROD-0029,2023-04-05,2,1420.83,1.5,0.14
ORD-00470,CUST-0326,PROD-0001,2024-03-18,4,1635.9,0.27,0.14
ORD-04519,CUST-0098,PROD-0051,2024-05-18,2,101.26,0.22,0.13
ORD-00650,CUST-0094,PROD-0051,2024-10-24,6,1601.06,0.06,0.09
ORD-02557,CUST-0485,PROD-0054,2023-03-08,10,1523.3,0.21,0.1
ORD-00975,CUST-0093,PROD-0059,2023-08-07,7,743.59,0.27,0.06
ORD-04618,CUST-0185,PROD-0031,2023-09-24,8,755.57,0.19,0.13
ORD-02072,CUST-0067,PROD-0032,2024-09-06,4,1564.71,0.24,0.05
ORD-01970,CUST-0458,PROD-0070,2024-12-25,6,1407.92,0.07,0.11
ORD-02521,CUST-0082,PROD-0080,2024-02-22,6,1991.53,0.01,0.08
ORD-03209,CUST-0290,PROD-0087,2023-09-13,7,452.3,0.25,0.07
ORD-01766,CUST-0278,PROD-0011,2024-12-06,1,560.26,0.25,0.11
ORD-04260,CUST-0064,PROD-0023,2023-08-04,6,779.39,0.17,0.1
ORD-02694,CUST-0308,PROD-0089,2024-01-14,4,1915.71,0.09,0.15
ORD-00036,CUST-0138,PROD-0020,2023-11-10,10,597.81,0.07,0.06
ORD-04495,CUST-0003,PROD-0017,2023-08-28,10,1774.03,0.01,0.13
ORD-04374,CUST-0348,PROD-0008,2023-03-21,8,1317.96,0.08,0.13
ORD-03169,CUST-0068,PROD-0089,2024-08-23,9,1985.69,1.99,0.05
ORD-04996,CUST-0152,PROD-0050,2024-10-23,7,760.09,0.25,0.13
ORD-04724,CUST-0212,PROD-0045,2024-09-01,7,1454.51,0.12,0.09
ORD-03851,CUST-0323,PROD-0091,2024-10-10,7,1303.72,0.03,0.06
ORD-00422,CUST-0092,PROD-0059,2024-06-22,9,279.26,0.12,0.1
ORD-00983,CUST-0429,PROD-0054,2024-03-13,1,214.6,0.09,0.1
ORD-00980,CUST-0495,PROD-0002,2024-06-13,5,293.84,0.19,0.05
ORD-03721,CUST-0426,PROD-0046,2024-09-16,6,576.77,0.07,0.13
ORD-03037,CUST-0407,PROD-0100,2023-09-02,10,1625.67,0.04,0.05
ORD-03154,CUST-0453,PROD-0089,2024-01-22,5,1988.34,0.21,0.08
ORD-00689,CUST-0316,PROD-0047,2024-08-16,10,1454.56,0.09,0.13
ORD-01553,CUST-0124,PROD-0068,2024-09-08,-3,444.33,0.08,0.08
ORD-00193,CUST-0042,PROD-0063,2023-02-04,8,295.02,0.26,0.07
ORD-00770,CUST-0321,PROD-0013,2023-07-01,4,401.78,0.1,0.06
ORD-02673,CUST-0494,PROD-0045,2023-12-15,7,173.89,0.23,0.13
ORD-02287,CUST-0145,PROD-0053,2024-04-18,10,1529.27,0.18,0.08
ORD-00297,CUST-0268,PROD-0016,2023-01-05,4,20.88,0.22,0.05
ORD-03434,CUST-0365,PROD-0099,2023-12-31,7,1703.62,0.28,0.08
ORD-03303,CUST-0276,PROD-0010,2023-03-24,7,1496.94,0.22,0.07
ORD-03381,CUST-0295,PROD-0042,2024-09-08,9,445.43,0.29,0.12
ORD-03099,CUST-0259,PROD-0050,2023-04-05,3,644.89,0.21,0.1
ORD-01518,CUST-0107,PROD-0052,2023-08-05,4,1975.1,0.04,0.11
ORD-02408,CUST-0440,PROD-0041,2024-09-06,5,348.92,0.25,0.06
ORD-04580,CUST-0144,PROD-0100,2023-08-23,1,728.42,0.06,0.11
ORD-02103,CUST-0090,PROD-0035,2023-07-05,10,1085.49,0.29,0.12
ORD-01702,CUST-0281,PROD-0094,2023-07-21,8,872.48,0.15,0.12
ORD-04049,CUST-0416,PROD-0028,2023-12-06,8,1043.44,0.18,0.13
ORD-03220,CUST-0383,PROD-0037,2023-12-19,2,399.24,0.25,0.1
ORD-04319,CUST-0453,PROD-0095,2024-09-14,8,1103.07,0.13,0.05
ORD-03843,CUST-0112,PROD-0027,2024-05-31,9,1350.58,0.28,0.09
ORD-01937,CUST-0004,PROD-0025,2024-02-07,8,1548.28,0.09,0.08
ORD-04401,CUST-0182,PROD-0094,2023-07-21,1,940.9,0.26,0.08
ORD-02909,CUST-0461,PROD-0027,2023-02-25,4,544.64,0.18,0.05
ORD-03080,CUST-0427,PROD-0043,2023-01-01,7,1788.31,0.1,0.12
ORD-00449,CUST-0248,PROD-0065,2023-03-24,4,1827.57,0.13,0.05
ORD-04475,CUST-0202,PROD-0006,2023-12-07,7,775.89,0.26,0.1
ORD-00988,CUST-0189,PROD-0034,2023-03-20,6,1752.05,0.08,0.1
ORD-02307,CUST-0144,PROD-0049,2024-05-26,6,1424.4,0.27,0.11
ORD-01880,CUST-0356,PROD-0073,2023-01-24,7,1775.69,0.04,0.06
ORD-03253,CUST-0396,PROD-0061,2023-10-13,4,1554.2,0.18,0.05
ORD-04881,CUST-0114,PROD-0043,2024-10-15,2,1386.3,0.12,0.11
ORD-04584,CUST-0165,PROD-0042,2024-08-24,5,1663.25,1.55,0.1
ORD-00569,CUST-0484,PROD-0008,2024-07-11,7,396.96,0.1,0.11
ORD-01724,CUST-0341,PROD-0021,2023-03-02,4,1381.17,0.01,0.14
ORD-01910,CUST-0481,PROD-0064,2024-09-20,2,912.61,0.21,0.09
ORD-04926,CUST-0110,PROD-0036,2024-10-05,5,542.24,0.07,0.09
ORD-00654,CUST-0105,PROD-0025,2024-04-12,8,1656.24,0.15,0.07
ORD-02048,CUST-0315,PROD-0006,2023-11-30,5,1073.9,0.16,0.1
ORD-02196,CUST-0070,PROD-0085,2023-12-11,9,263.65,0.28,0.15
ORD-00350,CUST-0078,PROD-0002,2024-06-07,3,1433.24,0.22,0.07
ORD-00623,CUST-0244,PROD-0055,2023-06-18,10,680.31,0.02,0.13
ORD-01248,CUST-0363,PROD-0062,2024-07-11,8,632.9,0.2,0.08
ORD-01390,CUST-0273,PROD-0021,2023-01-09,2,1134.96,0.29,0.13
ORD-00414,CUST-0139,PROD-0053,2024-02-26,4,74.14,0.23,0.05
ORD-04425,CUST-0425,PROD-0030,2024-01-27,10,427.09,0.07,0.09
ORD-04059,CUST-0043,PROD-0033,2023-03-23,1,966.72,0.09,0.14
ORD-00152,CUST-0311,PROD-0056,2024-06-11,8,1411.96,0.13,0.12
ORD-02939,CUST-0427,PROD-0053,2024-06-20,4,325.06,0.22,0.08
ORD-00596,CUST-0095,PROD-0057,2024-05-01,9,1704.08,0.14,0.12
ORD-00928,CUST-0182,PROD-0060,2024-04-25,10,842.31,0.14,0.09
ORD-04788,CUST-0178,PROD-0052,2023-02-13,2,529.94,0.0,0.14
ORD-04044,CUST-0263,PROD-0029,2023-09-15,1,1616.82,0.16,0.13
ORD-02534,CUST-0040,PROD-0080,2023-12-20,7,1905.88,0.26,0.08
ORD-03964,CUST-0191,PROD-0003,2024-07-22,9,1726.39,0.2,0.06
ORD-03569,CUST-0257,PROD-0072,2024-08-13,4,1203.79,0.15,0.1
ORD-00271,CUST-0224,PROD-0036,2024-03-23,6,499.89,0.07,0.12
ORD-00015,CUST-0370,PROD-0061,2024-04-26,9,1766.8,0.14,0.13
ORD-03402,CUST-0311,PROD-0048,2024-12-08,3,778.69,0.13,0.07
ORD-00054,CUST-0238,PROD-0099,2023-08-02,10,1378.45,0.07,0.09
ORD-00854,CUST-0011,PROD-0098,2024-12-05,7,1523.05,0.25,0.13
ORD-02059,CUST-0168,PROD-0080,2024-10-06,9,1697.1,0.03,0.07
ORD-02774,CUST-0265,PROD-0052,2024-02-20,9,1815.36,0.0,0.14
ORD-00176,CUST-0492,PROD-0061,2024-02-12,1,491.46,0.15,0.09
ORD-02684,CUST-0357,PROD-0066,2023-01-06,10,835.27,0.09,0.13
ORD-03143,CUST-0400,PROD-0050,2024-11-14,5,258.35,0.13,0.14
ORD-02027,CUST-0453,PROD-0056,2024-06-07,1,143.32,0.25,0.08
ORD-01706,CUST-0136,PROD-0094,2023-09-15,4,11.13,0.02,0.14
ORD-04323,CUST-0283,PROD-0100,2024-03-30,1,996.28,0.11,0.12
ORD-01130,CUST-0320,PROD-0089,2024-08-06,5,1441.09,0.28,0.13
ORD-01219,CUST-0362,PROD-0067,2024-10-03,6,1785.62,0.01,0.06
ORD-02846,CUST-0222,PROD-0082,2024-11-01,4,545.54,0.17,0.11
ORD-02474,CUST-0427,PROD-0089,2024-07-26,5,1588.97,0.06,0.05
ORD-03325,CUST-0361,PROD-0024,2024-09-02,4,1386.39,0.0,0.07
ORD-01181,CUST-0129,PROD-0084,2023-05-07,7,86.83,0.08,0.08
ORD-03113,CUST-0242,PROD-0073,2024-08-03,2,1204.24,0.03,0.11
ORD-04322,CUST-0030,PROD-0045,2023-01-19,-4,644.31,0.09,0.1
ORD-00973,CUST-0310,PROD-0071,2024-03-30,7,1891.86,0.08,0.11
ORD-03666,CUST-0246,PROD-0079,2023-12-25,7,1400.21,0.05,0.1
ORD-04383,CUST-0328,PROD-0018,2023-08-13,2,235.95,0.25,0.14
ORD-01197,CUST-0124,PROD-0057,2023-02-09,4,917.08,0.22,0.06
ORD-04526,CUST-0170,PROD-0037,2024-10-03,7,1294.32,0.14,0.09
ORD-02594,CUST-0015,PROD-0031,2023-10-09,3,878.31,0.02,0.12
ORD-01932,CUST-0041,PROD-0088,2023-11-21,10,1869.73,0.1,0.07
ORD-02444,CUST-0408,PROD-0068,2024-12-25,4,806.92,0.27,0.14
ORD-04447,CUST-0380,PROD-0035,2023-01-04,5,1154.23,0.26,0.06
ORD-01637,CUST-0244,PROD-0052,2024-02-23,2,183.61,0.26,0.12
ORD-03877,CUST-0389,PROD-0074,2024-07-09,8,1953.34,0.29,0.15
ORD-04347,CUST-0390,PROD-0019,2024-01-07,8,1146.74,0.04,0.12
ORD-04225,CUST-0009,PROD-0081,2023-04-19,10,1608.89,0.23,0.14
ORD-04296,CUST-0352,PROD-0014,2023-11-08,3,180.43,0.18,0.06
ORD-03977,CUST-0309,PROD-0002,2023-03-11,7,20.13,0.03,0.06
ORD-03663,CUST-0060,PROD-0010,2023-03-01,9,875.66,0.03,0.15
ORD-00893,CUST-0064,PROD-0036,2024-03-07,1,1201.77,0.09,0.15
ORD-00672,CUST-0338,PROD-0062,2024-02-10,6,316.01,0.02,0.13
ORD-02145,CUST-0393,PROD-0015,2023-06-25,6,271.7,0.08,0.15
ORD-00617,CUST-0173,PROD-0022,2023-01-19,2,1821.67,0.02,0.08
ORD-00642,CUST-0466,PROD-0051,2024-05-14,9,1735.24,0.26,0.09
ORD-02781,CUST-0152,PROD-0085,2024-04-28,8,704.15,0.24,0.1
ORD-01246,CUST-0380,PROD-0044,2023-11-17,4,127.28,0.15,0.09
ORD-00363,CUST-0284,PROD-0021,2023-09-23,8,557.9,0.25,0.14
ORD-04792,CUST-0275,PROD-0041,2023-03-17,9,841.47,0.26,0.09
ORD-01779,CUST-0332,PROD-0016,2023-12-05,2,689.3,0.13,0.06
ORD-04249,CUST-0087,PROD-0068,2023-08-26,4,1989.38,0.15,0.09
ORD-00512,CUST-0098,PROD-0039,2023-09-12,4,361.47,0.01,0.09
ORD-03006,CUST-0125,PROD-0039,2024-10-08,10,582.52,0.26,0.14
ORD-02580,CUST-0063,PROD-0047,2023-01-01,1,926.78,0.02,0.1
ORD-00171,CUST-0423,PROD-0042,2023-01-19,4,277.43,0.29,0.09
ORD-04832,CUST-0068,PROD-0069,2024-09-25,4,1007.13,0.05,0.13
ORD-03067,CUST-0139,PROD-0041,2024-01-27,3,1389.9,0.28,0.12
ORD-00005,CUST-0122,PROD-0039,2023-01-02,6,1159.17,0.23,0.13
ORD-01214,CUST-0004,PROD-0063,2023-08-15,1,1920.11,0.16,0.13
ORD-02430,CUST-0328,PROD-0078,2023-09-10,2,1641.8,0.09,0.1
ORD-00571,CUST-0228,PROD-0095,2023-03-15,8,1749.86,0.03,0.12
ORD-01605,CUST-0255,PROD-0056,2024-08-18,4,139.66,0.2,0.05
ORD-02917,CUST-0172,PROD-0044,2024-05-23,9,653.52,0.29,0.12
ORD-03904,CUST-0231,PROD-0003,2023-12-04,1,1885.18,0.1,0.12
ORD-01962,CUST-0238,PROD-0042,2024-07-01,8,362.11,0.05,0.09
ORD-00359,CUST-0031,PROD-0046,2024-10-18,6,1862.39,0.3,0.11
ORD-03588,CUST-0289,PROD-0076,2024-02-09,1,1019.49,0.22,0.05
ORD-02880,CUST-0266,PROD-0094,2024-09-21,8,662.53,0.15,0.09
ORD-03546,CUST-0384,PROD-0008,2023-02-15,7,1242.29,0.18,0.12
ORD-03922,CUST-0194,PROD-0036,2023-03-14,4,106.07,0.04,0.14
ORD-02336,CUST-0006,PROD-0048,2023-03-05,6,33.37,0.14,0.13
ORD-04256,CUST-0240,PROD-0096,2024-11-25,6,99.32,0.15,0.06
ORD-04979,CUST-0472,PROD-0078,2024-10-04,1,953.66,0.3,0.12
ORD-03755,CUST-0100,PROD-0020,2023-06-29,3,1782.42,0.28,0.06
ORD-03340,CUST-0133,PROD-0050,2023-01-01,1,1985.58,0.29,0.06
ORD-02308,CUST-0498,PROD-0063,2024-08-18,3,1773.38,0.2,0.11
ORD-01089,CUST-0420,PROD-0050,2023-02-10,8,129.93,0.0,0.07
ORD-01201,CUST-0396,PROD-0026,2023-12-16,9,1966.66,0.17,0.11
ORD-04189,CUST-0228,PROD-0039,2024-05-14,6,1041.38,0.2,0.1
ORD-01020,CUST-0449,PROD-0057,2024-07-17,8,523.31,0.14,0.08
ORD-03055,CUST-0177,PROD-0029,2024-09-12,3,980.82,0.3,0.08
ORD-02220,CUST-0188,PROD-0086,2023-08-24,5,1895.0,0.29,0.07
ORD-04524,CUST-0277,PROD-0097,2024-10-14,8,221.78,0.18,0.07
ORD-03522,CUST-0308,PROD-0022,2023-06-12,4,1606.12,0.19,0.06
ORD-00362,CUST-0291,PROD-0024,2024-06-29,8,1122.46,0.16,0.1
ORD-02817,CUST-0340,PROD-0046,2023-07-05,1,497.77,0.12,0.13
ORD-00210,CUST-0219,PROD-0095,2024-08-19,1,1705.97,0.11,0.12
ORD-01744,CUST-0283,PROD-0037,2024-05-25,1,998.3,0.17,0.1
ORD-01687,CUST-0401,PROD-0036,2024-01-03,3,491.43,0.18,0.09
ORD-02537,CUST-0155,PROD-0019,2024-07-16,2,1614.49,0.09,0.11
ORD-02959,CUST-0147,PROD-0051,2023-10-07,5,1151.94,0.04,0.15
ORD-04419,CUST-0267,PROD-0028,2024-09-22,8,395.12,0.24,0.12
ORD-01538,CUST-0123,PROD-0090,2024-10-28,1,984.32,0.27,0.06
ORD-00487,CUST-0014,PROD-0037,2024-07-01,1,1316.08,0.09,0.12
ORD-03816,CUST-0438,PROD-0071,2023-11-27,5,169.01,0.28,0.07
ORD-04145,CUST-0500,PROD-0081,2023-06-24,4,1849.54,0.01,0.06
ORD-01413,CUST-0213,PROD-0069,2024-03-05,7,1976.5,0.03,0.1
ORD-04329,CUST-0055,PROD-0087,2023-05-30,2,61.56,0.12,0.08
ORD-04432,CUST-0405,PROD-0080,2024-12-25,8,1892.69,0.03,0.09
ORD-04837,CUST-0425,PROD-0066,2024-08-11,4,980.09,0.27,0.07
ORD-01369,CUST-0241,PROD-0064,2024-02-26,3,980.29,0.1,0.15
ORD-03010,CUST-0117,PROD-0060,2023-04-08,9,1288.53,0.29,0.12
ORD-01112,CUST-0159,PROD-0025,2024-07-31,6,788.14,0.13,0.15
ORD-04037,CUST-0175,PROD-0020,2024-08-05,3,651.36,0.08,0.15
